Verse,I,IV,I,V,|,I,IV,I,V,|,I,IV,I,V,|,I,IV,I,V,||
Chorus,IV,I,V,VI,IV,I,V,|,IV,I,V,VI,IV,I,V,||
Intro,IV,I,V,VI,IV,I,V,||
Verse,I,IV,I,V,|,I,IV,I,V,|,I,IV,I,V,|,I,IV,I,V,||
Chorus,IV,I,V,VI,|,IV,I,V,|,IV,I,V,VI,|,IV,I,V,||
Intro,IV,I,V,VI,|,IV,I,V,||
Bridge,IV,I,V,VI,|,IV,I,V,|,IV,I,V,VI,|,IV,I,V,||
Chorus,IV,I,V,VI,|,IV,I,V,|,IV,I,V,VI,|,IV,I,V,||
Chorus,IV,I,V,VI,|,IV,I,V,|,IV,I,V,VI,|,IV,I,V,||
Bridge,IV,I,V,VI,|,IV,I,V,|,IV,I,V,VI,|,IV,I,V,||
Chorus,IV,I,V,VI,|,IV,I,V,|,IV,I,V,VI,|,IV,I,V,||
Chorus,IV,I,V,VI,|,IV,I,V,|,IV,I,V,VI,|,IV,I,V,||
Outro,IV,I,V,VI,|,IV,I,V,|,IV,I,V,VI,|,IV,I,V,I,||